Angle,Realized Gain
9.396057679,5.81987642
9.434100153,5.223321796
10.00473726,4.664219032
10.26559993,4.082950881
10.46124694,3.564739434
10.65689394,3.028184218
11.06992651,1.802718601
11.08683428,2.391247827
11.41230878,1.288201384
11.67860609,0.456999394
11.98294588,-0.233949203
12.13511577,-0.738402825
12.13511577,-1.320053137
12.59162546,-2.018797836
12.63510257,-2.646154703
12.87422669,-3.260670933
12.93944236,-3.783468323
13.20030503,-4.300151124
13.20030503,-4.813776629
13.35247493,-5.306001072
13.50464482,-5.965153805
13.50464482,-6.597198525
13.6012337,-7.092708583
13.71239573,-7.608755423
13.80898461,-8.237946668
14.19786323,-9.510120953
14.6176993,-10.70263573
14.95490193,-11.64927607
15.08396346,-12.74533973
15.32508775,-13.35517856
16.54911576,-11.16275858
17.11350017,-10.00710119
17.30889218,-8.944181738
17.40283758,-8.441909768
17.64089922,-7.932002019
18.06045543,-7.401446343
18.38578681,-6.919311956
19.88563572,-6.26284944
21.19386759,-6.654268025
21.50878125,-7.232096719
21.98811642,-7.876803734
22.44885304,-8.587497359
22.61793071,-9.241418721
23.13482527,-10.60123545
23.15221611,-9.992833813
23.54785784,-11.88682787
23.63915977,-11.26833715
23.78698196,-12.44478414
23.85219762,-12.956881
24.15653741,-13.64171501
24.52609287,-14.43202568
24.69301014,-14.9945679
24.97484636,-15.93621467
25.14278364,-17.03140556
25.52708648,-18.20065092
25.703598,-18.89924276
26.16151579,-19.93551578
26.90488173,-18.81007166
27.37460876,-17.8684249
27.41032968,-17.39760152
27.56249957,-16.48448951
27.75039038,-15.57423098
27.9382812,-14.63258421
27.96078477,-13.48120704
28.09045109,-14.16960789
28.14074517,-12.80976654
28.22011742,-12.21854434
28.54410269,-11.71205252
28.84613688,-10.81969305
29.10205897,-10.13729099
29.41485264,-9.443539869
29.6853769,-9.001251239
30.02353222,-8.544695234
30.47158802,-7.895529664
30.97036712,-7.298677803
31.61286223,-6.74904416
33.30846962,-6.250705128
35.46783288,-6.447391085
36.1018741,-6.977959099
36.74859615,-7.526361332
37.3953182,-8.184444011
37.85182789,-8.765839549
38.33877155,-9.365782674
38.61267736,-10.04633647
39.16602243,-10.77494538
39.4387425,-11.42670502
39.69477438,-12.09964954
40.16481028,-12.79209282
40.21046125,-13.48388217
40.4821932,-14.66132278
40.55284351,-14.11253839
40.98652771,-15.27889631
41.19956556,-16.1741741
41.35173545,-16.84973431
41.39521257,-17.85313843
41.50390535,-17.34766571
41.69955235,-19.28089504
41.80824514,-18.31784722
41.80824514,-18.7886706
42.19953915,-19.93974205
45.33581995,-19.93265468
45.4603226,-19.43070248
45.61249249,-18.82255562
45.61249249,-17.41900258
45.82553034,-17.97971043
46.13817031,-16.96179806
46.37334196,-16.2633452
46.74684988,-15.60769446
47.13419143,-14.71711841
47.67523994,-13.91160619
48.0472108,-13.26452128
48.65589037,-12.66529152
49.188485,-12.07141203
50.21140485,-11.48377452
52.51866461,-11.11392025
54.64123954,-11.42313817
55.35136572,-11.87612733
56.20351712,-12.45823624
57.003496,-13.0470712
57.48174423,-13.55343563
58.09042381,-14.06820762
58.48171782,-14.58183312
59.00344318,-15.24776749
59.49799533,-15.93697899
59.91646254,-16.57366061
60.26427944,-17.18664819
60.7741474,-17.91900923
61.04686747,-18.60217562
61.39468437,-19.14331678
61.59033138,-19.73413898
61.99611776,-20.04776646
69.83286731,-19.93184403
70.34010029,-19.24344318
71.1217002,-18.50851123
71.74767181,-17.83097304
72.28026644,-17.21569249
73.36274773,-16.57463338
74.25847507,-15.92360332
75.13345196,-15.34921409
76.35081111,-14.85890045
77.72034016,-14.36507093
79.28353998,-13.87420837
80.94972347,-13.37895752
83.19845635,-12.83114976
85.63317465,-12.34695071
88.37223275,-11.8654268
